run_order,std_order,replicate,point_type,wing_length_mm,body_width_mm,paper_gsm,clips,A,B,C,D,timer_1_s,timer_2_s,flight_time_s
1,8,1,factorial,110,45,120,1,1,1,1,-1,2.39,2.51,2.45
2,10,2,factorial,110,25,80,3,1,-1,-1,1,2.23,2.33,2.28
3,3,2,factorial,70,45,80,1,-1,1,-1,-1,1.99,2.31,2.15
4,11,2,factorial,70,45,80,3,-1,1,-1,1,1.3,1.35,1.325
5,18,2,center,90,35,100,2,0,0,0,0,2.35,2.49,2.42
6,2,1,factorial,110,25,80,1,1,-1,-1,-1,2.58,2.56,2.57
7,4,1,factorial,110,45,80,1,1,1,-1,-1,2.45,2.43,2.44
8,14,1,factorial,110,25,120,3,1,-1,1,1,2.12,2.14,2.13
9,9,2,factorial,70,25,80,3,-1,-1,-1,1,1.59,1.53,1.56
10,8,2,factorial,110,45,120,1,1,1,1,-1,2.34,2.55,2.445
11,4,2,factorial,110,45,80,1,1,1,-1,-1,2.52,2.58,2.55
12,12,1,factorial,110,45,80,3,1,1,-1,1,2.23,2.12,2.175
13,20,4,center,90,35,100,2,0,0,0,0,2.32,2.35,2.335
14,13,1,factorial,70,25,120,3,-1,-1,1,1,1.37,1.39,1.38
15,14,2,factorial,110,25,120,3,1,-1,1,1,2.12,2.25,2.185
16,12,2,factorial,110,45,80,3,1,1,-1,1,2.27,2.15,2.21
17,16,2,factorial,110,45,120,3,1,1,1,1,2.42,2.57,2.495
18,7,1,factorial,70,45,120,1,-1,1,1,-1,2.11,2.16,2.135
19,5,2,factorial,70,25,120,1,-1,-1,1,-1,2.23,2.2,2.215
20,6,1,factorial,110,25,120,1,1,-1,1,-1,2.5,2.55,2.525
21,10,1,factorial,110,25,80,3,1,-1,-1,1,2.23,2.29,2.26
22,1,1,factorial,70,25,80,1,-1,-1,-1,-1,2.12,2.09,2.105
23,7,2,factorial,70,45,120,1,-1,1,1,-1,2.19,2.23,2.21
24,3,1,factorial,70,45,80,1,-1,1,-1,-1,2.05,2.09,2.07
25,16,1,factorial,110,45,120,3,1,1,1,1,2.25,2.23,2.24
26,5,1,factorial,70,25,120,1,-1,-1,1,-1,1.84,1.98,1.91
27,19,3,center,90,35,100,2,0,0,0,0,2.29,2.2,2.245
28,13,2,factorial,70,25,120,3,-1,-1,1,1,1.26,1.41,1.335
29,15,1,factorial,70,45,120,3,-1,1,1,1,1.35,1.5,1.425
30,9,1,factorial,70,25,80,3,-1,-1,-1,1,1.44,1.26,1.35
31,17,1,center,90,35,100,2,0,0,0,0,2.44,2.47,2.455
32,11,1,factorial,70,45,80,3,-1,1,-1,1,1.47,1.46,1.465
33,6,2,factorial,110,25,120,1,1,-1,1,-1,2.59,2.57,2.58
34,15,2,factorial,70,45,120,3,-1,1,1,1,1.55,1.56,1.555
35,1,2,factorial,70,25,80,1,-1,-1,-1,-1,2.14,2.23,2.185
36,2,2,factorial,110,25,80,1,1,-1,-1,-1,2.34,2.4,2.37
