record_id,standard,R1_trial1,R1_trial2,R2_trial1,R2_trial2,R3_trial1,R3_trial2
C001,no,no,no,no,no,no,no
C002,yes,yes,yes,yes,yes,yes,yes
C003,yes,yes,no,yes,no,yes,yes
C004,yes,yes,yes,yes,yes,yes,yes
C005,yes,yes,yes,yes,yes,no,yes
C006,yes,yes,yes,yes,yes,yes,no
C007,no,no,no,no,yes,no,no
C008,yes,yes,yes,yes,yes,yes,yes
C009,yes,yes,yes,yes,yes,yes,yes
C010,yes,yes,yes,yes,yes,no,yes
C011,no,no,yes,yes,yes,no,no
C012,no,no,no,no,no,no,no
C013,no,no,yes,no,no,no,no
C014,no,no,no,no,no,no,no
C015,no,yes,no,no,no,no,no
C016,no,no,no,no,no,no,no
C017,yes,yes,yes,no,yes,yes,yes
C018,no,no,no,no,no,no,no
C019,no,no,no,no,no,no,no
C020,yes,yes,yes,yes,yes,no,yes
C021,yes,yes,yes,no,no,yes,yes
C022,no,no,no,no,no,no,no
C023,yes,no,yes,yes,yes,yes,yes
C024,yes,yes,yes,yes,no,yes,yes
C025,yes,yes,yes,yes,yes,yes,yes
C026,yes,yes,yes,yes,yes,yes,yes
C027,yes,yes,yes,yes,yes,yes,no
C028,yes,yes,yes,yes,yes,no,no
C029,yes,no,yes,yes,no,yes,yes
C030,no,no,no,no,no,no,no
C031,yes,no,yes,yes,yes,yes,yes
C032,no,no,no,no,no,no,no
C033,no,no,no,yes,no,no,no
C034,yes,yes,yes,yes,yes,yes,yes
C035,no,no,no,no,no,no,yes
C036,no,no,no,no,no,yes,no
C037,no,no,no,no,no,no,yes
C038,no,no,yes,no,no,no,no
C039,yes,yes,no,yes,yes,yes,yes
C040,yes,yes,yes,yes,yes,yes,yes
C041,yes,yes,yes,yes,yes,yes,yes
C042,yes,yes,yes,yes,yes,no,yes
C043,no,no,no,no,yes,yes,no
C044,yes,yes,yes,yes,yes,no,no
C045,yes,yes,yes,yes,yes,no,no
C046,yes,yes,yes,yes,yes,yes,yes
C047,no,no,no,no,no,no,no
C048,yes,yes,yes,yes,no,yes,no
C049,yes,yes,yes,yes,yes,no,yes
C050,yes,yes,yes,no,yes,yes,yes
