part_id,date,shift,machine,fixture,operator_id,hole_pos_dev_mm,result,rework_min
B00001,2026-03-02,Day,M2,F4,OP-13,-0.01,pass,
B00002,2026-03-02,Day,M1,F2,OP-11,-0.12,pass,
B00003,2026-03-02,Day,M2,F3,OP-12,0.04,pass,
B00004,2026-03-02,Day,M1,F2,OP-11,-0.27,fail,19
B00005,2026-03-02,Day,M2,F3,OP-13,0.31,fail,23
B00006,2026-03-02,Day,M1,F1,OP-12,-0.15,pass,
B00007,2026-03-02,Day,M2,F3,OP-11,0.07,pass,
B00008,2026-03-02,Day,M1,F2,OP-12,0.07,pass,
B00009,2026-03-02,Day,M1,F2,OP-13,-0.09,pass,
B00010,2026-03-02,Day,M2,F3,OP-12,0.17,pass,
B00011,2026-03-02,Swing,M2,F4,OP-21,-0.09,pass,
B00012,2026-03-02,Swing,M2,F4,OP-22,0.1,pass,
B00013,2026-03-02,Swing,M2,F3,OP-22,0.02,pass,
B00014,2026-03-02,Swing,M1,F2,OP-23,-0.06,pass,
B00015,2026-03-02,Swing,M2,F4,OP-23,0.07,pass,
B00016,2026-03-02,Swing,M2,F4,OP-21,-0.08,pass,
B00017,2026-03-02,Swing,M1,F1,OP-23,0.01,pass,
B00018,2026-03-02,Swing,M1,F2,OP-22,0.05,pass,
B00019,2026-03-02,Swing,M2,F4,OP-22,0.0,pass,
B00020,2026-03-02,Swing,M1,F2,OP-22,0.15,pass,
B00021,2026-03-02,Night,M2,F3,OP-32,0.27,fail,21
B00022,2026-03-02,Night,M2,F3,OP-33,0.25,pass,
B00023,2026-03-02,Night,M2,F4,OP-31,0.04,pass,
B00024,2026-03-02,Night,M1,F2,OP-32,-0.11,pass,
B00025,2026-03-02,Night,M1,F1,OP-31,0.27,fail,19
B00026,2026-03-02,Night,M1,F1,OP-33,0.1,pass,
B00027,2026-03-02,Night,M1,F1,OP-32,0.05,pass,
B00028,2026-03-02,Night,M2,F3,OP-31,-0.02,pass,
B00029,2026-03-02,Night,M1,F1,OP-33,0.16,pass,
B00030,2026-03-02,Night,M2,F3,OP-31,0.09,pass,
B00031,2026-03-03,Day,M2,F3,OP-13,-0.13,pass,
B00032,2026-03-03,Day,M1,F1,OP-12,0.02,pass,
B00033,2026-03-03,Day,M2,F3,OP-11,0.26,fail,25
B00034,2026-03-03,Day,M1,F1,OP-13,0.06,pass,
B00035,2026-03-03,Day,M1,F2,OP-11,0.17,pass,
B00036,2026-03-03,Day,M2,F3,OP-12,0.23,pass,
B00037,2026-03-03,Day,M1,F2,OP-12,0.17,pass,
B00038,2026-03-03,Day,M1,F2,OP-12,0.08,pass,
B00039,2026-03-03,Day,M1,F2,OP-13,-0.01,pass,
B00040,2026-03-03,Day,M1,F1,OP-11,-0.03,pass,
B00041,2026-03-03,Swing,M1,F1,OP-21,0.04,pass,
B00042,2026-03-03,Swing,M2,F3,OP-23,0.35,fail,21
B00043,2026-03-03,Swing,M2,F4,OP-21,-0.09,pass,
B00044,2026-03-03,Swing,M1,F1,OP-21,-0.11,pass,
B00045,2026-03-03,Swing,M2,F4,OP-21,-0.04,pass,
B00046,2026-03-03,Swing,M2,F4,OP-21,-0.07,pass,
B00047,2026-03-03,Swing,M1,F1,OP-22,-0.11,pass,
B00048,2026-03-03,Swing,M1,F2,OP-23,0.03,pass,
B00049,2026-03-03,Swing,M1,F2,OP-23,0.09,pass,
B00050,2026-03-03,Swing,M2,F3,OP-22,0.1,pass,
B00051,2026-03-03,Night,M2,F4,OP-33,0.28,fail,13
B00052,2026-03-03,Night,M1,F1,OP-32,-0.01,pass,
B00053,2026-03-03,Night,M2,F3,OP-31,0.08,pass,
B00054,2026-03-03,Night,M1,F1,OP-31,-0.09,pass,
B00055,2026-03-03,Night,M1,F2,OP-32,-0.02,pass,
B00056,2026-03-03,Night,M2,F4,OP-31,0.03,pass,
B00057,2026-03-03,Night,M1,F1,OP-31,0.04,pass,
B00058,2026-03-03,Night,M1,F1,OP-33,-0.0,pass,
B00059,2026-03-03,Night,M1,F1,OP-32,-0.19,pass,
B00060,2026-03-03,Night,M1,F2,OP-32,-0.0,pass,
B00061,2026-03-04,Day,M2,F4,OP-13,-0.03,pass,
B00062,2026-03-04,Day,M2,F3,OP-12,0.24,pass,
B00063,2026-03-04,Day,M2,F4,OP-11,-0.02,pass,
B00064,2026-03-04,Day,M2,F3,OP-12,0.1,pass,
B00065,2026-03-04,Day,M2,F3,OP-13,0.08,pass,
B00066,2026-03-04,Day,M2,F4,OP-13,-0.06,pass,
B00067,2026-03-04,Day,M1,F1,OP-12,-0.19,pass,
B00068,2026-03-04,Day,M1,F1,OP-11,-0.09,pass,
B00069,2026-03-04,Day,M2,F4,OP-11,0.01,pass,
B00070,2026-03-04,Day,M1,F1,OP-13,0.04,pass,
B00071,2026-03-04,Swing,M1,F2,OP-21,-0.11,pass,
B00072,2026-03-04,Swing,M2,F4,OP-21,0.25,pass,
B00073,2026-03-04,Swing,M1,F1,OP-21,0.01,pass,
B00074,2026-03-04,Swing,M2,F4,OP-23,-0.0,pass,
B00075,2026-03-04,Swing,M1,F2,OP-22,0.02,pass,
B00076,2026-03-04,Swing,M1,F1,OP-21,-0.06,pass,
B00077,2026-03-04,Swing,M2,F4,OP-22,0.07,pass,
B00078,2026-03-04,Swing,M2,F3,OP-22,0.21,pass,
B00079,2026-03-04,Swing,M2,F4,OP-22,0.03,pass,
B00080,2026-03-04,Swing,M1,F2,OP-22,-0.05,pass,
B00081,2026-03-04,Night,M2,F4,OP-33,0.03,pass,
B00082,2026-03-04,Night,M1,F2,OP-32,-0.05,pass,
B00083,2026-03-04,Night,M2,F4,OP-33,-0.08,pass,
B00084,2026-03-04,Night,M2,F4,OP-33,-0.11,pass,
B00085,2026-03-04,Night,M1,F2,OP-33,0.13,pass,
B00086,2026-03-04,Night,M1,F2,OP-31,-0.17,pass,
B00087,2026-03-04,Night,M1,F1,OP-33,-0.01,pass,
B00088,2026-03-04,Night,M2,F4,OP-31,-0.17,pass,
B00089,2026-03-04,Night,M1,F2,OP-33,-0.01,pass,
B00090,2026-03-04,Night,M2,F4,OP-32,0.12,pass,
B00091,2026-03-05,Day,M2,F4,OP-13,0.0,pass,
B00092,2026-03-05,Day,M2,F4,OP-12,-0.26,fail,13
B00093,2026-03-05,Day,M2,F3,OP-11,0.13,pass,
B00094,2026-03-05,Day,M2,F4,OP-13,-0.09,pass,
B00095,2026-03-05,Day,M2,F4,OP-11,-0.07,pass,
