part,operator,trial,measurement_mm
P01,OP-12,1,-0.158
P01,OP-12,2,-0.166
P01,OP-22,1,-0.16
P01,OP-22,2,-0.165
P01,OP-32,1,-0.162
P01,OP-32,2,-0.183
P02,OP-12,1,-0.103
P02,OP-12,2,-0.107
P02,OP-22,1,-0.11
P02,OP-22,2,-0.094
P02,OP-32,1,-0.116
P02,OP-32,2,-0.121
P03,OP-12,1,-0.052
P03,OP-12,2,-0.058
P03,OP-22,1,-0.058
P03,OP-22,2,-0.069
P03,OP-32,1,-0.068
P03,OP-32,2,-0.062
P04,OP-12,1,-0.048
P04,OP-12,2,-0.028
P04,OP-22,1,-0.061
P04,OP-22,2,-0.043
P04,OP-32,1,-0.045
P04,OP-32,2,-0.043
P05,OP-12,1,-0.029
P05,OP-12,2,-0.009
P05,OP-22,1,-0.013
P05,OP-22,2,0.004
P05,OP-32,1,-0.022
P05,OP-32,2,-0.005
P06,OP-12,1,0.016
P06,OP-12,2,0.009
P06,OP-22,1,0.039
P06,OP-22,2,0.01
P06,OP-32,1,0.001
P06,OP-32,2,0.012
P07,OP-12,1,0.034
P07,OP-12,2,0.03
P07,OP-22,1,0.045
P07,OP-22,2,0.057
P07,OP-32,1,0.028
P07,OP-32,2,0.039
P08,OP-12,1,0.09
P08,OP-12,2,0.078
P08,OP-22,1,0.095
P08,OP-22,2,0.116
P08,OP-32,1,0.084
P08,OP-32,2,0.075
P09,OP-12,1,0.151
P09,OP-12,2,0.133
P09,OP-22,1,0.147
P09,OP-22,2,0.134
P09,OP-32,1,0.138
P09,OP-32,2,0.119
P10,OP-12,1,0.166
P10,OP-12,2,0.168
P10,OP-22,1,0.188
P10,OP-22,2,0.186
P10,OP-32,1,0.166
P10,OP-32,2,0.18
