part,operator,trial,measurement_mm
P01,OP-12,1,-0.193
P01,OP-12,2,-0.092
P01,OP-22,1,-0.106
P01,OP-22,2,-0.165
P01,OP-32,1,-0.163
P01,OP-32,2,-0.166
P02,OP-12,1,-0.085
P02,OP-12,2,-0.115
P02,OP-22,1,-0.078
P02,OP-22,2,-0.08
P02,OP-32,1,-0.087
P02,OP-32,2,-0.137
P03,OP-12,1,-0.095
P03,OP-12,2,-0.003
P03,OP-22,1,0.009
P03,OP-22,2,0.016
P03,OP-32,1,-0.069
P03,OP-32,2,-0.115
P04,OP-12,1,-0.026
P04,OP-12,2,-0.006
P04,OP-22,1,-0.051
P04,OP-22,2,-0.015
P04,OP-32,1,-0.03
P04,OP-32,2,-0.077
P05,OP-12,1,0.006
P05,OP-12,2,0.013
P05,OP-22,1,0.028
P05,OP-22,2,-0.021
P05,OP-32,1,-0.027
P05,OP-32,2,-0.052
P06,OP-12,1,0.038
P06,OP-12,2,-0.001
P06,OP-22,1,0.023
P06,OP-22,2,0.016
P06,OP-32,1,-0.027
P06,OP-32,2,0.042
P07,OP-12,1,0.025
P07,OP-12,2,0.036
P07,OP-22,1,0.059
P07,OP-22,2,0.079
P07,OP-32,1,0.056
P07,OP-32,2,-0.002
P08,OP-12,1,0.036
P08,OP-12,2,0.075
P08,OP-22,1,0.111
P08,OP-22,2,0.184
P08,OP-32,1,0.062
P08,OP-32,2,0.076
P09,OP-12,1,0.14
P09,OP-12,2,0.159
P09,OP-22,1,0.174
P09,OP-22,2,0.197
P09,OP-32,1,0.098
P09,OP-32,2,0.104
P10,OP-12,1,0.203
P10,OP-12,2,0.206
P10,OP-22,1,0.198
P10,OP-22,2,0.253
P10,OP-32,1,0.135
P10,OP-32,2,0.175
