part_id,date,shift,machine,fixture,operator_id,hole_pos_dev_mm,result,rework_min
B30001,2026-06-01,Day,M1,F2,OP-11,-0.12,pass,
B30002,2026-06-01,Day,M1,F2,OP-11,-0.16,pass,
B30003,2026-06-01,Day,M1,F1,OP-12,0.0,pass,
B30004,2026-06-01,Day,M1,F2,OP-13,0.05,pass,
B30005,2026-06-01,Day,M1,F1,OP-11,-0.06,pass,
B30006,2026-06-01,Day,M2,F4,OP-12,0.06,pass,
B30007,2026-06-01,Day,M2,F3,OP-12,0.04,pass,
B30008,2026-06-01,Day,M2,F3,OP-12,0.16,pass,
B30009,2026-06-01,Day,M1,F1,OP-11,0.1,pass,
B30010,2026-06-01,Day,M1,F1,OP-13,-0.2,pass,
B30011,2026-06-01,Swing,M2,F4,OP-21,0.09,pass,
B30012,2026-06-01,Swing,M2,F3,OP-21,-0.02,pass,
B30013,2026-06-01,Swing,M1,F2,OP-22,0.1,pass,
B30014,2026-06-01,Swing,M2,F4,OP-21,-0.04,pass,
B30015,2026-06-01,Swing,M1,F1,OP-21,-0.08,pass,
B30016,2026-06-01,Swing,M1,F1,OP-22,-0.08,pass,
B30017,2026-06-01,Swing,M1,F1,OP-21,0.08,pass,
B30018,2026-06-01,Swing,M2,F3,OP-21,0.0,pass,
B30019,2026-06-01,Swing,M2,F3,OP-21,0.08,pass,
B30020,2026-06-01,Swing,M2,F3,OP-21,0.06,pass,
B30021,2026-06-01,Night,M2,F3,OP-31,-0.05,pass,
B30022,2026-06-01,Night,M1,F1,OP-33,-0.1,pass,
B30023,2026-06-01,Night,M2,F3,OP-31,-0.03,pass,
B30024,2026-06-01,Night,M1,F1,OP-33,0.07,pass,
B30025,2026-06-01,Night,M2,F3,OP-33,0.07,pass,
B30026,2026-06-01,Night,M1,F2,OP-31,-0.06,pass,
B30027,2026-06-01,Night,M2,F4,OP-33,-0.18,pass,
B30028,2026-06-01,Night,M1,F2,OP-33,0.36,fail,29
B30029,2026-06-01,Night,M2,F3,OP-32,0.12,pass,
B30030,2026-06-01,Night,M1,F1,OP-31,0.1,pass,
B30031,2026-06-02,Day,M2,F3,OP-11,-0.0,pass,
B30032,2026-06-02,Day,M2,F3,OP-12,0.02,pass,
B30033,2026-06-02,Day,M2,F4,OP-12,0.01,pass,
B30034,2026-06-02,Day,M2,F3,OP-11,-0.1,pass,
B30035,2026-06-02,Day,M2,F4,OP-13,-0.03,pass,
B30036,2026-06-02,Day,M1,F1,OP-11,-0.04,pass,
B30037,2026-06-02,Day,M1,F2,OP-11,-0.04,pass,
B30038,2026-06-02,Day,M2,F3,OP-12,-0.0,pass,
