invoice_id,date,entry_channel,clerk_code,vendor_group,entry_minutes,corrected,days_to_pay
INV100001,2026-01-05,Email-PDF,C09,Services,16.4,No,28
INV100002,2026-01-05,Paper-scan,C04,Services,6.6,No,35
INV100003,2026-01-05,Portal,C04,Raw materials,7.9,No,30
INV100004,2026-01-05,EDI,C08,Raw materials,2.5,No,37
INV100005,2026-01-05,Email-PDF,C02,Raw materials,6.8,Yes,37
INV100006,2026-01-05,Email-PDF,C08,Raw materials,9.5,Yes,28
INV100007,2026-01-05,EDI,C09,MRO,4.5,No,32
INV100008,2026-01-05,Email-PDF,C03,Utilities,17.5,No,23
INV100009,2026-01-05,Paper-scan,C09,Services,12.7,No,41
INV100010,2026-01-05,Portal,C06,Services,9.3,No,40
INV100011,2026-01-05,EDI,C04,Raw materials,2.1,No,28
INV100012,2026-01-05,EDI,C05,Raw materials,2.4,No,33
INV100013,2026-01-06,Portal,C08,MRO,6.1,No,30
INV100014,2026-01-06,Email-PDF,C06,MRO,11.7,No,27
INV100015,2026-01-06,EDI,C04,MRO,2.0,No,29
INV100016,2026-01-06,Portal,C08,MRO,7.3,No,23
INV100017,2026-01-06,Portal,C10,Services,6.9,No,37
INV100018,2026-01-06,Portal,C11,MRO,4.9,No,27
INV100019,2026-01-06,Portal,C12,Services,10.2,No,39
INV100020,2026-01-06,Email-PDF,C03,Freight,7.7,No,18
INV100021,2026-01-06,EDI,C09,Freight,3.9,No,38
INV100022,2026-01-06,Portal,C01,Services,11.0,No,32
INV100023,2026-01-06,Email-PDF,C10,MRO,7.8,No,36
INV100024,2026-01-06,Email-PDF,C12,Raw materials,6.3,No,26
INV100025,2026-01-06,Portal,C06,MRO,5.4,No,30
INV100026,2026-01-07,Paper-scan,C11,MRO,6.9,Yes,32
INV100027,2026-01-07,Email-PDF,C08,Raw materials,5.0,no,26
INV100028,2026-01-07,Email-PDF,C12,Freight,14.5,No,19
INV100029,2026-01-07,EDI,C08,Raw materials,2.1,No,26
INV100030,2026-01-07,Email-PDF,C06,MRO,6.7,No,20
INV100031,2026-01-07,Portal,C09,MRO,3.9,No,26
INV100032,2026-01-07,EDI,C05,MRO,1.9,No,34
INV100033,2026-01-07,EDI,C06,Raw materials,1.2,No,24
