invoice_id,date,entry_channel,clerk_code,vendor_group,entry_minutes,corrected,days_to_pay
INV200001,2026-08-03,Portal,C06,Raw materials,4.6,No,
INV200002,2026-08-03,Portal,C11,Raw materials,4.0,No,
INV200003,2026-08-03,Portal,C02,Services,4.9,No,
INV200004,2026-08-03,Portal,C03,Raw materials,3.8,No,
INV200005,2026-08-03,Email-PDF,C07,MRO,7.9,No,
INV200006,2026-08-03,Portal,C06,Freight,5.4,No,
INV200007,2026-08-03,Portal,C10,Raw materials,6.4,No,
INV200008,2026-08-03,Portal,C10,Raw materials,3.8,No,
INV200009,2026-08-03,Portal,C05,Services,4.4,No,
INV200010,2026-08-03,Paper-scan,C01,Services,7.4,No,
INV200011,2026-08-03,Portal,C07,Freight,4.0,No,
INV200012,2026-08-03,Email-PDF,C06,MRO,5.9,No,
INV200013,2026-08-03,Paper-scan,C10,Services,9.4,Yes,
INV200014,2026-08-03,Portal,C08,Raw materials,4.1,No,
INV200015,2026-08-03,Email-PDF,C05,MRO,5.9,No,
INV200016,2026-08-03,EDI,C03,Services,7.2,No,
INV200017,2026-08-03,EDI,C01,Raw materials,2.6,No,
INV200018,2026-08-03,Email-PDF,C08,Raw materials,8.7,Yes,
INV200019,2026-08-04,EDI,C05,Raw materials,1.2,No,
INV200020,2026-08-04,Portal,C08,Services,3.5,No,
INV200021,2026-08-04,Paper-scan,C06,Raw materials,9.0,No,
INV200022,2026-08-04,Email-PDF,C03,Raw materials,5.2,No,
INV200023,2026-08-04,Paper-scan,C07,Freight,7.0,No,
INV200024,2026-08-04,EDI,C03,Raw materials,1.8,No,
INV200025,2026-08-04,Paper-scan,C01,Raw materials,8.9,No,
INV200026,2026-08-04,EDI,C02,MRO,1.6,No,
INV200027,2026-08-04,Email-PDF,C04,Raw materials,11.5,No,
INV200028,2026-08-04,EDI,C04,MRO,2.4,No,
INV200029,2026-08-04,Portal,C10,MRO,2.7,No,
INV200030,2026-08-04,Portal,C09,Raw materials,4.2,No,
INV200031,2026-08-04,Paper-scan,C10,Raw materials,10.1,No,
INV200032,2026-08-04,Email-PDF,C08,Services,5.1,No,
INV200033,2026-08-04,Portal,C07,Raw materials,3.5,No,
INV200034,2026-08-04,Portal,C12,MRO,6.2,No,
INV200035,2026-08-04,Portal,C12,Services,4.8,No,
INV200036,2026-08-04,Email-PDF,C01,Raw materials,8.8,No,
INV200037,2026-08-04,Paper-scan,C04,Raw materials,4.8,No,
INV200038,2026-08-05,Paper-scan,C05,Utilities,6.0,No,
INV200039,2026-08-05,Email-PDF,C12,Utilities,7.3,No,
INV200040,2026-08-05,EDI,C12,Raw materials,2.6,No,
INV200041,2026-08-05,EDI,C08,MRO,2.8,Yes,
INV200042,2026-08-05,Paper-scan,C05,MRO,6.3,Yes,
INV200043,2026-08-05,Email-PDF,C01,Raw materials,4.3,No,
INV200044,2026-08-05,Email-PDF,C09,Freight,8.0,No,
INV200045,2026-08-05,Email-PDF,C05,Services,5.3,No,
INV200046,2026-08-05,EDI,C11,Raw materials,2.3,No,
INV200047,2026-08-05,Email-PDF,C08,Raw materials,5.9,No,
INV200048,2026-08-05,Portal,C08,Raw materials,3.2,No,
INV200049,2026-08-05,EDI,C06,Services,4.9,No,
INV200050,2026-08-05,Email-PDF,C07,Raw materials,6.9,No,
INV200051,2026-08-05,EDI,C08,Services,6.4,No,
INV200052,2026-08-05,Portal,C11,Utilities,2.1,No,
INV200053,2026-08-05,Paper-scan,C11,Utilities,5.6,No,
INV200054,2026-08-05,EDI,C09,Raw materials,2.3,No,
INV200055,2026-08-05,EDI,C02,MRO,1.4,No,
INV200056,2026-08-05,EDI,C04,MRO,1.8,No,
INV200057,2026-08-05,Paper-scan,C04,MRO,7.1,No,
INV200058,2026-08-05,EDI,C05,Raw materials,1.8,No,
INV200059,2026-08-06,Portal,C05,Services,11.6,No,
INV200060,2026-08-06,Portal,C06,Services,3.4,No,
INV200061,2026-08-06,Email-PDF,C09,Services,6.7,No,
INV200062,2026-08-06,Paper-scan,C04,Raw materials,5.7,Yes,
INV200063,2026-08-06,Portal,C02,Raw materials,3.7,No,
INV200064,2026-08-06,Email-PDF,C08,Utilities,6.6,No,
INV200065,2026-08-06,Email-PDF,C03,Services,7.3,No,
INV200066,2026-08-06,Email-PDF,C02,Freight,6.3,No,
INV200067,2026-08-06,EDI,C12,Freight,2.1,No,
INV200068,2026-08-06,Portal,C08,Raw materials,2.3,No,
INV200069,2026-08-06,Portal,C04,Raw materials,3.7,No,
INV200070,2026-08-06,Portal,C05,Raw materials,2.7,No,
INV200071,2026-08-06,EDI,C07,MRO,1.6,No,
INV200072,2026-08-06,Email-PDF,C02,Raw materials,6.0,No,
INV200073,2026-08-06,EDI,C09,Freight,4.6,No,
INV200074,2026-08-06,Email-PDF,C03,Raw materials,6.0,No,
INV200075,2026-08-06,Portal,C09,Raw materials,7.0,No,
INV200076,2026-08-06,Email-PDF,C04,Raw materials,7.6,No,
INV200077,2026-08-07,EDI,C05,Raw materials,1.5,No,
INV200078,2026-08-07,Email-PDF,C12,Raw materials,5.0,No,
INV200079,2026-08-07,Paper-scan,C08,MRO,9.9,No,
INV200080,2026-08-07,Portal,C06,Services,5.0,No,
INV200081,2026-08-07,Email-PDF,C01,MRO,9.0,No,
INV200082,2026-08-07,Portal,C03,Freight,4.7,No,
INV200083,2026-08-07,Email-PDF,C06,Raw materials,6.9,No,
INV200084,2026-08-07,Email-PDF,C04,Services,4.1,Yes,
INV200085,2026-08-10,Email-PDF,C01,MRO,4.1,Yes,
INV200086,2026-08-10,Email-PDF,C04,Services,8.0,No,
INV200087,2026-08-10,Portal,C01,Services,3.4,No,
INV200088,2026-08-10,Email-PDF,C04,MRO,6.4,No,
INV200089,2026-08-10,Paper-scan,C09,Freight,9.1,No,
INV200090,2026-08-10,Email-PDF,C05,Raw materials,8.4,No,
INV200091,2026-08-10,Portal,C01,Freight,6.4,No,
INV200092,2026-08-10,Portal,C06,MRO,2.3,No,
INV200093,2026-08-10,Email-PDF,C02,Services,14.9,No,
INV200094,2026-08-10,Email-PDF,C01,Freight,3.7,No,
INV200095,2026-08-10,Email-PDF,C08,MRO,8.1,No,
INV200096,2026-08-10,Email-PDF,C05,Raw materials,5.1,Yes,
INV200097,2026-08-10,Portal,C02,Services,13.6,No,
INV200098,2026-08-10,Paper-scan,C01,Raw materials,7.8,Yes,
INV200099,2026-08-11,Email-PDF,C03,Raw materials,8.0,Yes,
INV200100,2026-08-11,Paper-scan,C11,Raw materials,6.1,No,
INV200101,2026-08-11,Portal,C03,Freight,7.4,No,
INV200102,2026-08-11,EDI,C06,MRO,1.7,No,
INV200103,2026-08-11,EDI,C08,Services,5.8,No,
INV200104,2026-08-11,Portal,C02,Utilities,3.8,No,
INV200105,2026-08-11,Portal,C12,Freight,4.1,No,
INV200106,2026-08-11,Email-PDF,C05,Utilities,5.8,No,
INV200107,2026-08-11,Email-PDF,C11,Freight,6.3,No,
INV200108,2026-08-11,EDI,C11,Raw materials,1.7,No,
INV200109,2026-08-11,Portal,C02,MRO,4.2,No,
INV200110,2026-08-11,Portal,C04,Raw materials,3.4,No,
INV200111,2026-08-11,Portal,C06,Raw materials,3.9,No,
INV200112,2026-08-11,Portal,C04,MRO,3.0,No,
INV200113,2026-08-11,Email-PDF,C10,MRO,8.0,No,
INV200114,2026-08-11,Portal,C08,Raw materials,4.7,No,
INV200115,2026-08-11,Portal,C06,Services,9.0,No,
INV200116,2026-08-11,Portal,C02,Utilities,4.1,No,
INV200117,2026-08-12,Portal,C10,Services,2.5,No,
INV200118,2026-08-12,Portal,C04,Raw materials,3.7,No,
INV200119,2026-08-12,Portal,C03,Raw materials,6.6,No,
INV200120,2026-08-12,Email-PDF,C08,MRO,6.2,No,
INV200121,2026-08-12,Portal,C11,Services,7.5,No,
INV200122,2026-08-12,Portal,C06,Utilities,4.9,No,
INV200123,2026-08-12,EDI,C06,Utilities,1.0,No,
INV200124,2026-08-12,Portal,C03,Raw materials,2.8,No,
INV200125,2026-08-12,Portal,C09,Utilities,5.5,No,
INV200126,2026-08-12,EDI,C08,Services,5.4,No,
INV200127,2026-08-12,Portal,C01,Raw materials,3.8,No,
INV200128,2026-08-12,Portal,C04,MRO,3.4,No,
INV200129,2026-08-12,Portal,C09,MRO,2.6,No,
INV200130,2026-08-13,Email-PDF,C07,Freight,5.3,No,
INV200131,2026-08-13,Portal,C01,Raw materials,3.6,No,
INV200132,2026-08-13,EDI,C01,Services,5.6,No,
INV200133,2026-08-13,Email-PDF,C01,Raw materials,6.2,No,
INV200134,2026-08-13,Email-PDF,C11,Freight,4.3,No,
INV200135,2026-08-13,Email-PDF,C03,MRO,6.5,No,
INV200136,2026-08-13,EDI,C11,Services,5.7,No,
INV200137,2026-08-13,Email-PDF,C05,Raw materials,9.4,No,
INV200138,2026-08-13,Email-PDF,C12,MRO,6.4,No,
INV200139,2026-08-14,Email-PDF,C12,Raw materials,9.4,No,
INV200140,2026-08-14,EDI,C12,MRO,1.2,No,
INV200141,2026-08-14,Portal,C11,Services,7.8,No,
INV200142,2026-08-14,Portal,C06,Raw materials,6.0,No,
INV200143,2026-08-14,Portal,C05,Raw materials,3.8,No,
INV200144,2026-08-14,Email-PDF,C10,Services,8.1,No,
INV200145,2026-08-14,Email-PDF,C02,Raw materials,4.1,No,
INV200146,2026-08-14,Portal,C01,Raw materials,4.2,No,
INV200147,2026-08-14,Email-PDF,C03,Freight,4.6,No,
INV200148,2026-08-14,EDI,C07,Freight,3.5,No,
INV200149,2026-08-14,Email-PDF,C06,MRO,4.8,No,
INV200150,2026-08-14,EDI,C11,Raw materials,1.4,No,
INV200151,2026-08-17,Portal,C10,MRO,4.5,No,
INV200152,2026-08-17,Portal,C12,MRO,9.0,No,
INV200153,2026-08-17,Email-PDF,C04,Raw materials,4.6,No,
INV200154,2026-08-17,Email-PDF,C08,MRO,4.5,No,
INV200155,2026-08-17,Paper-scan,C05,Utilities,6.9,No,
INV200156,2026-08-17,EDI,C01,Services,9.5,No,
INV200157,2026-08-17,Email-PDF,C04,Services,5.2,No,
INV200158,2026-08-17,Paper-scan,C10,Services,6.2,No,
INV200159,2026-08-17,Email-PDF,C03,Raw materials,7.7,No,
INV200160,2026-08-17,Email-PDF,C04,Freight,4.7,No,
INV200161,2026-08-17,Paper-scan,C09,Raw materials,5.9,No,
INV200162,2026-08-17,Email-PDF,C06,Raw materials,11.3,No,
INV200163,2026-08-17,Email-PDF,C07,Raw materials,10.3,No,
INV200164,2026-08-17,Portal,C10,MRO,4.9,Yes,
INV200165,2026-08-17,EDI,C06,Services,3.9,No,
INV200166,2026-08-18,Portal,C02,Raw materials,3.2,No,
INV200167,2026-08-18,Email-PDF,C01,Freight,5.8,No,
INV200168,2026-08-18,Email-PDF,C04,Utilities,4.9,No,
INV200169,2026-08-18,Portal,C08,Services,10.1,No,
INV200170,2026-08-18,Portal,C01,Freight,4.1,No,
INV200171,2026-08-18,EDI,C09,Raw materials,2.9,No,
